placebo_score,random_score
5.5253420674850065e-05,0
0.008333384988516185,0
0.018631046298548108,0
0.011505824278049026,0
0.02312063350602515,0
0.010492368243757516,0
0.004624925697987914,0
0.025521937826003156,0
0.005075151396109673,0
-0.005222637363265975,0
0.017855397578330233,0
0.013468886678731262,0
0.026493482190485213,0
0.03322929271456409,0
0.009065688490270474,0
0.014307600606861638,0
0.02575902445988651,0
0.04777534797629683,0
0.004226313380965363,0
-0.017737674317230785,0
-0.008572345731091646,0
0.01118056757723026,0
-0.002322774071680034,0
0.013267986672489634,0
-0.031418081969265085,0
0.0163611737426131,0
0.047482418795725206,0
0.026365718098602525,0
0.020077495901224613,0
0.0003451076368331307,0
-0.011424227598851694,0
0.005195828801698577,0
0.023048368914761835,0
0.03358214131435015,0
0.014375169614305728,0
0.02126166355511012,0
0.02144616318160773,0
0.0393295271285623,0
-0.011309551962565945,0
0.021329768481347905,0
-0.01999002955613071,0
-0.01185732112417845,0
0.02815088193027839,0
-0.019088475651787222,0
0.020798357497890697,0
0.00019919678509640603,0
0.028302462746739376,0
0.027568143674052796,0
0.002457147191748654,0
-0.026909409259515692,0
