N,k_frac,gain_at_k
500,0.05,37.32437279255826
1000,0.1,68.38731621726038
1500,0.15,94.14000755772791
2000,0.2,158.59425284411338
2500,0.25,157.83883123624383
3000,0.3,153.7139997179321
3500,0.35,153.50282506208208
4000,0.4,155.9116902626951
4500,0.45,124.12568773162214
5000,0.5,107.47627882629737
5500,0.55,123.23545523702857
6000,0.6,106.8207909943162
6500,0.65,105.23239443891578
7000,0.7,112.86705824801095
7500,0.75,125.29218341671198
8000,0.8,137.29653232190998
8500,0.85,122.60897886372547
9000,0.9,115.17934971344117
9500,0.95,115.27002072905987
10000,1.0,134.20811993593435
